Cohort,CaptureYear,CaptureCov,CaptureSwitch,NPOPS,Comps
2009,2013,6,0,0,2628
2010,2013,6,0,0,2709
2011,2013,6,0,0,2697
2012,2013,6,0,0,2859
2003,2019,6,0,0,2634
2004,2019,6,0,0,2650
2005,2019,6,0,0,2712
2006,2019,6,0,0,2694
2007,2019,6,0,0,2630
2008,2019,6,0,0,1926
2009,2019,6,0,0,1752
2010,2019,6,0,0,1806
2011,2019,6,0,0,1798
2012,2019,6,0,0,1906
2013,2019,6,0,0,1708
2014,2019,6,0,0,1896
2015,2019,6,0,0,1512
2016,2019,6,0,0,2898
2017,2019,6,0,0,3024
2018,2019,6,0,0,2768
2003,2020,6,0,0,7902
2004,2020,6,0,0,7950
2005,2020,6,0,0,8136
2006,2020,6,0,0,8082
2007,2020,6,0,0,7890
2008,2020,6,0,0,5778
2009,2020,6,0,0,5256
2010,2020,6,0,0,5418
2011,2020,6,0,0,5394
2012,2020,6,0,0,5718
2013,2020,6,0,0,5124
2014,2020,6,0,0,5688
2015,2020,6,0,0,4536
2016,2020,6,0,0,8694
2017,2020,6,0,0,9072
2018,2020,6,0,0,8304
2019,2020,6,0,0,7056
2003,2021,6,0,0,7902
2004,2021,6,0,0,7950
2005,2021,6,0,0,8136
2006,2021,6,0,0,8082
2007,2021,6,0,0,7890
2008,2021,6,0,0,5778
2009,2021,6,0,0,5256
2010,2021,6,0,0,5418
2011,2021,6,0,0,5394
2012,2021,6,0,0,5718
2013,2021,6,0,0,5124
2014,2021,6,0,0,5688
2015,2021,6,0,0,4536
2016,2021,6,0,0,8694
2017,2021,6,0,0,9072
2018,2021,6,0,0,8304
2019,2021,6,0,0,7056
2020,2021,6,0,0,6858
2008,2010,7,0,0,5778
2009,2010,7,0,0,5256
2003,2011,7,0,0,2634
2004,2011,7,0,0,2650
2005,2011,7,0,0,2712
2006,2011,7,0,0,2694
2007,2011,7,0,0,2630
2008,2011,7,0,0,1926
2009,2011,7,0,0,1752
2010,2011,7,0,0,1806
2003,2013,7,0,0,11853
2004,2013,7,0,0,11925
2005,2013,7,0,0,12204
2006,2013,7,0,0,12123
2007,2013,7,0,0,11835
2008,2013,7,0,0,8667
2009,2013,7,0,0,7884
2010,2013,7,0,0,8127
2011,2013,7,0,0,8091
2012,2013,7,0,0,8577
2003,2014,7,0,0,3951
2004,2014,7,0,0,3975
2005,2014,7,0,0,4068
2006,2014,7,0,0,4041
2007,2014,7,0,0,3945
2008,2014,7,0,0,2889
2009,2014,7,0,0,2628
2010,2014,7,0,0,2709
2011,2014,7,0,0,2697
2012,2014,7,0,0,2859
2013,2014,7,0,0,2562
2003,2016,7,0,0,1317
2004,2016,7,0,0,1325
2005,2016,7,0,0,1356
2006,2016,7,0,0,1347
2007,2016,7,0,0,1315
2008,2016,7,0,0,963
2009,2016,7,0,0,876
2010,2016,7,0,0,903
2011,2016,7,0,0,899
2012,2016,7,0,0,953
2013,2016,7,0,0,854
2014,2016,7,0,0,948
2015,2016,7,0,0,756
2003,2019,7,0,0,43461
2004,2019,7,0,0,43725
